"산업별(1)","산업별(2)",시점,데이터
"음식료・담배","소계",2017.01,9473.92
"음식료・담배","소계",2017.02,9533.79
"음식료・담배","소계",2017.03,9216.64
"음식료・담배","소계",2017.04,9751.02
"음식료・담배","소계",2017.05,9750.33
"음식료・담배","소계",2017.06,9626.29
"음식료・담배","소계",2017.07,9323.4
"음식료・담배","소계",2017.08,9127.83
"음식료・담배","소계",2017.09,8450.88
"음식료・담배","소계",2017.10,9486.15
"음식료・담배","소계",2017.11,10929.6
"음식료・담배","소계",2017.12,11171.49
"음식료・담배","소계",2018.01,12989.57
"음식료・담배","소계",2018.02,12738.47
"음식료・담배","소계",2018.03,12229.52
"음식료・담배","소계",2018.04,13557.65
"음식료・담배","소계",2018.05,12955.37
"음식료・담배","소계",2018.06,11137.07
"음식료・담배","소계",2018.07,10258.97
"음식료・담배","소계",2018.08,10215.47
"음식료・담배","소계",2018.09,11234.23
"음식료・담배","소계",2018.10,9268.35
"음식료・담배","소계",2018.11,9645.26
"음식료・담배","소계",2018.12,9640.01
"음식료・담배","소계",2019.01,10297.53
"음식료・담배","소계",2019.02,10260.51
"음식료・담배","소계",2019.03,10610.85
"음식료・담배","소계",2019.04,11315.58
"음식료・담배","소계",2019.05,10652.05
"음식료・담배","소계",2019.06,10165.38
"음식료・담배","소계",2019.07,9088.54
"음식료・담배","소계",2019.08,9167.27
"음식료・담배","소계",2019.09,9907.28
"음식료・담배","소계",2019.10,8871.44
"음식료・담배","소계",2019.11,8654.16
"음식료・담배","소계",2019.12,8809.34
"음식료・담배","소계",2020.01,8464.89
"음식료・담배","소계",2020.02,8136.38
"음식료・담배","소계",2020.03,6961.3
"음식료・담배","소계",2020.04,8677.89
"음식료・담배","소계",2020.05,9477.46
"음식료・담배","소계",2020.06,9400.15
"음식료・담배","소계",2020.07,9707.67
"음식료・담배","소계",2020.08,9675.11
"음식료・담배","소계",2020.09,9441.27
"음식료・담배","소계",2020.10,8827.39
"음식료・담배","소계",2020.11,9549.74
"음식료・담배","소계",2020.12,9778.52
"음식료・담배","소계",2021.01,9553.57
"음식료・담배","소계",2021.02,9661.62
"음식료・담배","소계",2021.03,10773.28
"음식료・담배","소계",2021.04,10991.11
"음식료・담배","소계",2021.05,11170.2
"음식료・담배","소계",2021.06,11593.94
"음식료・담배","소계",2021.07,11304.23
"음식료・담배","소계",2021.08,10426.9
"음식료・담배","소계",2021.09,10086.74
"음식료・담배","소계",2021.10,9804.59
"음식료・담배","소계",2021.11,8444.43
"음식료・담배","소계",2021.12,9122.6
"음식료・담배","소계",2022.01,8490.86
"음식료・담배","소계",2022.02,9051.86
"음식료・담배","소계",2022.03,10776.56
"음식료・담배","소계",2022.04,12013.6
"음식료・담배","소계",2022.05,11559.22
"음식료・담배","소계",2022.06,9686.03
"음식료・담배","소계",2022.07,9861.05
"음식료・담배","소계",2022.08,9147.9
"음식료・담배","소계",2022.09,7873.54
"음식료・담배","소계",2022.10,7274.12
"음식료・담배","소계",2022.11,7439.83
"음식료・담배","소계",2022.12,6894.89
"음식료・담배","소계",2023.01,7268.25
"음식료・담배","소계",2023.02,7501.26
"음식료・담배","소계",2023.03,8369.67
"음식료・담배","소계",2023.04,8599.18
"음식료・담배","소계",2023.05,8403.49
"음식료・담배","소계",2023.06,8044.04
"음식료・담배","소계",2023.07,7236.85
"음식료・담배","소계",2023.08,7278.65
"음식료・담배","소계",2023.09,6809.62
"음식료・담배","소계",2023.10,6381.82
"음식료・담배","소계",2023.11,6617.47
"음식료・담배","소계",2023.12,6913.91
"음식료・담배","소계",2024.01,5705.46
"음식료・담배","소계",2024.02,5535.3
"음식료・담배","소계",2024.03,5796.26
"음식료・담배","소계",2024.04,5721.3
"음식료・담배","소계",2024.05,5768.59
"음식료・담배","소계",2024.06,5874.11
"섬유・의류","소계",2001.01,2019.7
"섬유・의류","소계",2001.02,1748.6
"섬유・의류","소계",2001.03,1671.5
"섬유・의류","소계",2001.04,1980.8
"섬유・의류","소계",2001.05,2641.1
"섬유・의류","소계",2001.06,2275.1
"섬유・의류","소계",2001.07,1835.2
"섬유・의류","소계",2001.08,1509.6
"섬유・의류","소계",2001.09,1092
"섬유・의류","소계",2001.10,1664.1
"섬유・의류","소계",2001.11,1666.4
"섬유・의류","소계",2001.12,1583.6
"섬유・의류","소계",2002.01,1609.5
"섬유・의류","소계",2002.02,1607.9
"섬유・의류","소계",2002.03,1739.8
"섬유・의류","소계",2002.04,1439
"섬유・의류","소계",2002.05,1343.9
"섬유・의류","소계",2002.06,1179.9
"섬유・의류","소계",2002.07,1076.6
"섬유・의류","소계",2002.08,1097.6
"섬유・의류","소계",2002.09,912.2
"섬유・의류","소계",2002.10,920.1
"섬유・의류","소계",2002.11,919
"섬유・의류","소계",2002.12,819
"섬유・의류","소계",2003.01,778.7
"섬유・의류","소계",2003.02,777.4
"섬유・의류","소계",2003.03,685
"섬유・의류","소계",2003.04,828
"섬유・의류","소계",2003.05,874.8
"섬유・의류","소계",2003.06,900.4
"섬유・의류","소계",2003.07,831.8
"섬유・의류","소계",2003.08,757.7
"섬유・의류","소계",2003.09,688.9
"섬유・의류","소계",2003.10,676.5
"섬유・의류","소계",2003.11,677.4
"섬유・의류","소계",2003.12,652.2
"섬유・의류","소계",2004.01,595.5
"섬유・의류","소계",2004.02,561
"섬유・의류","소계",2004.03,568.7
"섬유・의류","소계",2004.04,565.5
"섬유・의류","소계",2004.05,504.24
"섬유・의류","소계",2004.06,462.35
"섬유・의류","소계",2004.07,444.01
"섬유・의류","소계",2004.08,454.2
"섬유・의류","소계",2004.09,412.97
"섬유・의류","소계",2004.10,398.48
"섬유・의류","소계",2004.11,400.48
"섬유・의류","소계",2004.12,401.77
"섬유・의류","소계",2005.01,491.59
"섬유・의류","소계",2005.02,595.25
"섬유・의류","소계",2005.03,577.99
"섬유・의류","소계",2005.04,558.98
"섬유・의류","소계",2005.05,589.34
"섬유・의류","소계",2005.06,758.99
"섬유・의류","소계",2005.07,841.11
"섬유・의류","소계",2005.08,851.19
"섬유・의류","소계",2005.09,904.69
"섬유・의류","소계",2005.10,960.57
"섬유・의류","소계",2005.11,1169.05
"섬유・의류","소계",2005.12,1217.52
"섬유・의류","소계",2006.01,1220.41
"섬유・의류","소계",2006.02,1269.15
"섬유・의류","소계",2006.03,1342.83
"섬유・의류","소계",2006.04,1441.21
"섬유・의류","소계",2006.05,1196.04
"섬유・의류","소계",2006.06,1233.8
"섬유・의류","소계",2006.07,1282.84
"섬유・의류","소계",2006.08,1150.09
"섬유・의류","소계",2006.09,1179.13
"섬유・의류","소계",2006.10,1142.51
"섬유・의류","소계",2006.11,1462.95
"섬유・의류","소계",2006.12,1359.77
"섬유・의류","소계",2007.01,1298.31
"섬유・의류","소계",2007.02,1280.57
"섬유・의류","소계",2007.03,1306.14
"섬유・의류","소계",2007.04,1219.52
"섬유・의류","소계",2007.05,1187.56
"섬유・의류","소계",2007.06,1241.19
"섬유・의류","소계",2007.07,1304.69
"섬유・의류","소계",2007.08,1195.14
"섬유・의류","소계",2007.09,1259.39
"섬유・의류","소계",2007.10,1092.27
"섬유・의류","소계",2007.11,917.84
"섬유・의류","소계",2007.12,898.06
"섬유・의류","소계",2008.01,785.94
"섬유・의류","소계",2008.02,837.72
"섬유・의류","소계",2008.03,771.59
"섬유・의류","소계",2008.04,803.31
"섬유・의류","소계",2008.05,798.32
"섬유・의류","소계",2008.06,661.93
"섬유・의류","소계",2008.07,641.35
"섬유・의류","소계",2008.08,506.72
"섬유・의류","소계",2008.09,481.62
"섬유・의류","소계",2008.10,258.39
"섬유・의류","소계",2008.11,257.51
"섬유・의류","소계",2008.12,229.75
