"시점",제조업,음식료・담배,섬유・의류,종이・목재,출판・매체복제,화학,제약,비금속,금속,기계・장비,일반전기전자,의료・정밀기기,운송장비・부품,기타제조업,건설,유통,운송,금융,오락・문화,기타서비스,통신방송서비스,통신방송서비스,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT H/W,IT H/W,IT H/W,IT H/W
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,통신서비스,방송서비스,인터넷,디지털컨텐츠,소프트웨어,컴퓨터서비스,통신장비,정보기기,반도체,IT부품
"2007.08",1863.96,6484.56,1195.14,1037.04,1011.12,4005.88,1937.71,25103.65,5635.69,689.94,1319.06,2235.59,7070.9,1032.08,166.33,722.45,5598.99,806.36,835.08,2994.47,1151.15,2977.68,14475.08,1344.82,386,489.19,523.32,103.72,1203.5,1159.86
"2007.09",1905.19,5917.64,1259.39,1045.62,1031.65,4015.79,1892.06,23454.69,6329.5,687.11,1267.06,2303.57,6909.67,995.44,160.53,721.63,5457.95,811.53,825.84,3252.72,1169.92,2924.02,16446.07,1407.87,378.93,490.27,507.64,95.08,1235.67,1176.06
"2007.10",1894.87,5266.56,1092.27,1013.54,1024.57,3961.88,1830.23,24007.18,6838.38,678.58,1079.87,2299.77,6483.28,911.72,155.97,738.15,5679.78,818.1,747.42,3633.23,1188.58,2757.49,21246.74,1214.57,355.42,507.98,472.3,78.4,1165.74,1115.21
"2007.11",1737.71,4818.84,917.84,875.19,907.35,3713.09,1859.86,23778.51,6111.85,625.15,964.09,2106.99,5723.67,912.87,156.43,670.04,4942.01,724.35,663.32,3298.3,1343.73,2463.96,19474.57,1119.24,328.77,440.32,454.4,70.81,1014.64,926.85
"2007.12",1675.95,4946.14,898.06,969.7,837.45,3627.59,1925.49,23739.32,5638.7,617.7,927.88,1905.76,5506.19,833.86,152.81,623.33,5109.46,700.5,660.92,2959.11,1256.31,2320.55,17217.8,1133.3,309.02,432.07,441.61,67.34,977.41,887.4
"2008.01",1424.21,4569.31,785.94,953.78,754.66,3191.49,1665.6,20687.1,4408.9,556.39,807.17,1455.52,4457.67,821.26,135.03,522.93,4240.25,617.04,588.09,2819.69,1177.83,2251.5,14943.54,940.1,264.95,364.13,370.56,62.82,789.69,767.57
"2008.02",1590.92,4897.42,837.72,980.1,806.79,3329.96,1879.63,21405.71,5240.92,629.89,928.76,1655.18,4783.41,818.16,144.36,560.63,4177.63,686.17,595.08,3188.7,1162.36,2327.18,15863.42,968.66,273.94,383.34,397.27,60.61,896.47,824.27
"2008.03",1533.22,4653.04,771.59,912.77,830.58,3277.09,1994.44,19747.67,4805.09,608.1,898.05,1546.13,4812.66,793.68,137.99,555.12,3732.54,679.25,511.28,3100.13,1113.5,2489.23,16391.08,920.07,266.53,362.03,389.63,58.3,932.83,848.95
"2008.04",1591.42,4614.06,803.31,888.47,834.64,3135.69,2000.3,18961.16,5544.88,616.7,842.58,1520.64,5180.27,819.94,133.12,566.34,4034.87,621.05,512,3044.62,1003.45,2367.03,16352.46,886.25,272.9,347.69,382.71,60.62,923.98,893.35
"2008.05",1678.19,4830.12,798.32,964.36,831.92,3267.49,1901.8,18980.34,6235.08,672.15,859.13,1422.29,5479.34,797.65,129.65,566.76,4552.65,602.59,503.95,3126.98,1037.49,2461.45,15253.67,922.14,278.05,328.69,364.48,58.03,941.17,903
"2008.06",1539.58,4537.06,661.93,959.07,770.21,3014.5,1791.54,18925.47,5626,617.51,707.16,1349.59,5088.19,787.3,112.44,536.05,4106.54,537.48,475.3,2748.37,965.01,2429.3,13521.81,827.75,253.34,291.78,316.69,55.25,820.61,826.11
"2008.07",1424.23,4173.02,641.35,943.4,708.97,2595.18,1541.17,18325.31,5316.4,590.36,649.67,1249.42,4766.73,719.39,111.07,515.2,3989.54,502.96,416.73,2385.51,896.31,2398.21,12429.36,701.24,223.9,266.88,285.27,52.76,747.92,718.89
