"시점",전월비 (%),전월비 (%),전월비 (%),전월비 (%),전년동월비(%),전년동월비(%),전년동월비(%),전년동월비(%),전년누계비(%),전년누계비(%),전년누계비(%),전년누계비(%)
"시점",생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수
"1992.11",-,-8.4,0.2,0.2,-,-6.7,5.1,5.1,-,7.5,6.5,6.3
"1992.12",-,-0.3,0.2,0.2,-,-8.3,5.1,5.2,-,6.1,6.4,6.2
"1993.01",-,3.6,0.7,0.5,-,-8.0,5.2,5.2,-,-8.0,5.2,5.2
"1993.02",-,-0.7,0.9,0.7,-,-9.0,5.4,5.3,-,-8.5,5.3,5.3
"1993.03",-,0.4,1.5,1.3,-,-7.0,5.3,5.4,-,-8.0,5.3,5.3
"1993.04",-,0.8,0.4,0.5,-,-7.1,5.4,5.3,-,-7.8,5.3,5.3
"1993.05",-,2.4,0.3,0.2,-,-6.1,5.3,4.9,-,-7.4,5.3,5.2
"1993.06",-,3.6,0.2,0.5,-,-0.9,5.4,5.2,-,-6.4,5.3,5.2
"1993.07",-,-1.9,0.1,0.1,-,0.8,5.4,5.1,-,-5.4,5.3,5.2
"1993.08",-,2.7,0.1,0.3,-,1.1,5.5,5.2,-,-4.6,5.3,5.2
"1993.09",-,3.4,0.0,0.2,-,1.3,5.2,5.1,-,-3.9,5.3,5.2
"1993.10",-,3.3,0.4,0.2,-,8.6,5.3,5.1,-,-2.7,5.3,5.2
"1993.11",-,-2.2,0.0,0.1,-,16.0,5.1,5.0,-,-1.1,5.3,5.2
"1993.12",-,3.9,0.2,0.3,-,20.8,5.1,5.0,-,0.5,5.3,5.2
"1994.01",-,3.9,1.1,1.0,-,21.1,5.5,5.5,-,21.1,5.5,5.5
"1994.02",-,6.1,1.0,0.8,-,29.4,5.6,5.6,-,25.2,5.5,5.5
"1994.03",-,1.2,1.1,0.8,-,30.5,5.1,5.0,-,27.0,5.4,5.4
"1994.04",-,-1.5,0.3,0.3,-,27.5,5.0,4.8,-,27.1,5.3,5.2
"1994.05",-,-1.4,0.4,0.3,-,22.7,5.1,5.0,-,26.2,5.3,5.2
"1994.06",-,-1.1,0.7,1.0,-,17.1,5.6,5.6,-,24.6,5.3,5.2
"1994.07",-,6.7,0.3,0.3,-,27.3,5.9,5.7,-,25.0,5.4,5.3
"1994.08",-,7.2,0.3,0.0,-,33.0,6.1,5.4,-,26.0,5.5,5.3
"1994.09",-,-1.1,-0.1,-0.3,-,27.1,6.0,4.8,-,26.2,5.5,5.3
"1994.10",-,-4.4,0.1,0.0,-,17.6,5.6,4.6,-,25.2,5.5,5.2
"1994.11",-,-0.2,0.3,0.2,-,20.0,5.9,4.8,-,24.7,5.6,5.2
"1994.12",-,-0.4,0.1,0.2,-,15.1,5.8,4.7,-,23.8,5.6,5.1
"1995.01",-,2.5,1.0,0.9,-,13.5,5.8,4.6,-,13.5,5.8,4.6
"1995.02",0.6,1.4,0.2,0.2,-,8.5,4.9,4.0,-,11.0,5.3,4.3
"1995.03",1.2,1.2,1.0,0.9,-,8.5,4.9,4.1,-,10.1,5.2,4.2
"1995.04",0.7,0.8,0.8,0.7,-,11.1,5.4,4.5,-,10.4,5.2,4.3
"1995.05",0.1,-3.0,0.4,0.3,-,9.4,5.4,4.5,-,10.2,5.3,4.3
"1995.06",-0.7,-6.3,0.1,0.2,-,3.7,4.7,3.6,-,9.1,5.2,4.2
"1995.07",0.0,-2.2,0.5,0.6,-,-5.0,4.9,4.0,-,7.0,5.1,4.2
"1995.08",0.7,3.0,0.5,0.4,-,-8.7,5.1,4.4,-,4.9,5.1,4.2
"1995.09",1.5,6.8,0.3,0.3,-,-1.4,5.5,5.0,-,4.1,5.2,4.3
"1995.10",-0.8,-9.9,0.1,0.1,-,-7.0,5.5,5.1,-,3.0,5.2,4.4
"1995.11",-0.6,-6.2,0.3,0.5,-,-12.6,5.5,5.4,-,1.5,5.2,4.5
"1995.12",0.9,-0.1,0.5,0.6,-,-12.4,5.9,5.9,-,0.3,5.3,4.6
"1996.01",1.5,3.5,0.7,0.7,5.2,-11.5,5.5,5.6,5.2,-11.5,5.5,5.6
"1996.02",0.6,1.6,0.3,0.3,5.2,-11.4,5.6,5.7,5.2,-11.4,5.6,5.7
"1996.03",0.2,-0.6,1.1,0.9,4.1,-13.0,5.7,5.7,4.8,-12.0,5.6,5.7
"1996.04",1.1,2.9,0.4,0.5,4.5,-11.2,5.2,5.4,4.8,-11.8,5.5,5.6
